Time Step,Ratio
0,4.1
0.01,4.1
0.02,4.1
0.03,4.1
0.04,4.1
0.05,4.1
0.06,4.1
0.07,4.1
0.08,4.1
0.09,4.1
0.1,4.1
0.11,4.1
0.12,4.1
0.13,4.1
0.14,4.053263579
0.15,3.820416902
0.16,3.616611815
0.17,3.43673398
0.18,3.276803347
0.19,3.133676214
0.2,3.00483651
0.21,2.888246607
0.22,2.782238762
0.23,2.685434826
0.24,2.596686005
0.25,2.515027052
0.26,2.439641018
0.27,2.369831823
0.28,2.305002704
0.29,2.244639109
0.3,2.188295011
0.31,2.13558187
0.32,2.086756188
0.33,2.043506471
0.34,2.00485919
0.35,1.970067952
0.36,1.938548497
0.37,1.909835357
0.38,1.883552041
0.39,1.859389992
0.4,1.837093388
0.41,1.816447947
0.42,1.797272538
0.43,1.779412789
0.44,1.762736162
0.45,1.747128095
0.46,1.732488957
0.47,1.718731616
0.48,1.705779476
0.49,1.693564885
0.5,1.682027824
0.51,1.67111483
0.52,1.660778099
0.53,1.650974734
0.54,1.641666116
0.55,1.632817366
0.56,1.624396894
0.57,1.616376006
0.58,1.608728577
0.59,1.601430758
0.6,1.594460727
0.61,1.587798477
0.62,1.581425624
0.63,1.575325242
0.64,1.569481719
0.65,1.563880629
0.66,1.558508619
0.67,1.553353309
0.68,1.548403203
0.69,1.54364761
0.7,1.539076575
0.71,1.534680813
0.72,1.530451655
0.73,1.526380996
0.74,1.522461247
0.75,1.518685299
0.76,1.515046479
0.77,1.511538523
0.78,1.50815554
0.79,1.504891984
0.8,1.501742633
0.81,1.498702561
0.82,1.495767122
0.83,1.492931924
0.84,1.490192817
0.85,1.487545873
0.86,1.484987374
0.87,1.482513795
0.88,1.480121795
0.89,1.477808202
0.9,1.475570005
0.91,1.47340434
0.92,1.471308487
0.93,1.469279855
0.94,1.467315977
0.95,1.465414506
0.96,1.463573201
0.97,1.461789925
0.98,1.460062641
0.99,1.458389402
1,1.456768348
1.01,1.455197702
1.02,1.453675763
1.03,1.452200906
1.04,1.450771572
1.05,1.449386272
1.06,1.448043577
1.07,1.446742117
1.08,1.445480578
1.09,1.444257702
1.1,1.443072279
1.11,1.441923149
1.12,1.440809195
1.13,1.439729348
1.14,1.438682576
1.15,1.437667889
1.16,1.436684336
1.17,1.435730998
1.18,1.434806994
1.19,1.433911474
1.2,1.433043619
1.21,1.432202641
1.22,1.431387779
1.23,1.430598301
1.24,1.429833499
1.25,1.429092692
1.26,1.428375221
1.27,1.427680451
1.28,1.427007769
1.29,1.426356582
1.3,1.425726318
1.31,1.425116423
1.32,1.424526364
1.33,1.423955622
1.34,1.423403699
1.35,1.42287011
1.36,1.422354387
1.37,1.421856078
1.38,1.421374744
1.39,1.420909961
1.4,1.420461318
1.41,1.420028416
1.42,1.41961087
1.43,1.419208305
1.44,1.41882036
1.45,1.418446682
1.46,1.418086932
1.47,1.417740778
1.48,1.4174079
1.49,1.417087987
1.5,1.416780738
1.51,1.416485858
1.52,1.410326703
1.53,1.402788007
1.54,1.395380369
1.55,1.388100038
1.56,1.380943414
1.57,1.373907039
1.58,1.366987593
1.59,1.360181879
1.6,1.353486827
1.61,1.34689948
1.62,1.340416994
1.63,1.334036626
1.64,1.327755739
1.65,1.321571785
1.66,1.315482312
1.67,1.309484954
1.68,1.303577426
1.69,1.297757523
1.7,1.292023116
1.71,1.28637215
1.72,1.280802636
1.73,1.275312654
1.74,1.269900346
1.75,1.264563914
1.76,1.259301621
1.77,1.254111782
1.78,1.248992768
1.79,1.243943001
1.8,1.238960952
1.81,1.234045139
1.82,1.229194126
1.83,1.224406519
1.84,1.219680968
1.85,1.215016162
1.86,1.210410829
1.87,1.205863734
1.88,1.201373679
1.89,1.1969395
1.9,1.192560065
1.91,1.188234275
1.92,1.183961063
1.93,1.17973939
1.94,1.175568247
1.95,1.171446652
1.96,1.167373649
1.97,1.163348309
1.98,1.159369728
1.99,1.155437024
2,1.151549342
2.01,1.147705845
2.02,1.143905721
2.03,1.140148178
2.04,1.136432443
2.05,1.132757765
2.06,1.129123408
2.07,1.12552866
2.08,1.121972822
2.09,1.118455214
2.1,1.114975172
2.11,1.11153205
2.12,1.108125215
2.13,1.104754051
2.14,1.101417955
2.15,1.098116341
2.16,1.094848634
2.17,1.091614273
2.18,1.088412712
2.19,1.085243414
2.2,1.082105857
2.21,1.078999531
2.22,1.075923935
2.23,1.072878582
2.24,1.069862994
2.25,1.066876705
2.26,1.063919256
2.27,1.060990203
2.28,1.058089109
2.29,1.055215544
2.3,1.052369092
2.31,1.049549343
2.32,1.046755895
2.33,1.043988357
2.34,1.041246344
2.35,1.03852948
2.36,1.035837397
2.37,1.033169733
2.38,1.030526136
2.39,1.027906258
2.4,1.02530976
2.41,1.02273631
2.42,1.020185581
2.43,1.017657255
2.44,1.015151017
2.45,1.012666561
2.46,1.010203585
2.47,1.007761795
2.48,1.0053409
2.49,1.002940617
2.5,1.000560666
2.51,0.998200775
2.52,0.995860675
2.53,0.993540102
2.54,0.991238799
2.55,0.988956512
2.56,0.986692992
2.57,0.984447994
2.58,0.982221279
2.59,0.980012612
2.6,0.97782176
2.61,0.975648496
2.62,0.973492599
2.63,0.971353847
2.64,0.969232027
2.65,0.967126927
2.66,0.965038338
2.67,0.962966057
2.68,0.960909883
2.69,0.958869618
2.7,0.95684507
2.71,0.954836047
2.72,0.952842362
2.73,0.950863831
2.74,0.948900273
2.75,0.94695151
2.76,0.945017367
2.77,0.943097672
2.78,0.941192254
2.79,0.939300949
2.8,0.937423592
2.81,0.935560021
2.82,0.933710078
2.83,0.931873608
2.84,0.930050456
2.85,0.928240472
2.86,0.926443507
2.87,0.924659414
2.88,0.92288805
2.89,0.921129272
2.9,0.919382942
2.91,0.917648921
2.92,0.915927074
2.93,0.914217269
2.94,0.912519374
2.95,0.910833259
2.96,0.909158798
2.97,0.907495866
2.98,0.905844338
2.99,0.904204093
3,0.902575012
3.01,0.900956976
3.02,0.89934987
3.03,0.897753578
3.04,0.896167988
3.05,0.894592988
3.06,0.89302847
3.07,0.891474324
3.08,0.889930446
3.09,0.888396728
3.1,0.886873069
3.11,0.885359366
3.12,0.883855518
3.13,0.882361427
3.14,0.880876995
3.15,0.879402125
3.16,0.877936722
3.17,0.876480694
3.18,0.875033946
3.19,0.873596389
3.2,0.872167932
3.21,0.870748487
3.22,0.869337965
3.23,0.867936282
3.24,0.866543352
3.25,0.86515909
3.26,0.863783415
3.27,0.862416243
3.28,0.861057496
3.29,0.859707092
3.3,0.858364954
3.31,0.857031004
3.32,0.855705166
3.33,0.854387364
3.34,0.853077523
3.35,0.85177557
3.36,0.850481433
3.37,0.84919504
3.38,0.847916319
3.39,0.846645202
3.4,0.845381619
3.41,0.844125501
3.42,0.842876783
3.43,0.841635397
3.44,0.840401279
3.45,0.839174362
3.46,0.837954584
3.47,0.83674188
3.48,0.83553619
3.49,0.83433745
3.5,0.833145601
3.51,0.831960582
3.52,0.830782333
3.53,0.829610797
3.54,0.828445915
3.55,0.82728763
3.56,0.826135885
3.57,0.824990625
3.58,0.823851794
3.59,0.822719338
3.6,0.821593202
3.61,0.820473334
3.62,0.819359681
3.63,0.81825219
3.64,0.81715081
3.65,0.816055491
3.66,0.814966183
3.67,0.813882834
3.68,0.812805398
3.69,0.811733824
3.7,0.810668064
3.71,0.809608073
3.72,0.808553801
3.73,0.807505204
3.74,0.806462236
3.75,0.80542485
3.76,0.804393002
3.77,0.803366648
3.78,0.802345744
